Index,title,artist,image,rank,year
2999,Love Yourself,Justin Bieber,https://charts-static.billboard.com/img/2009/07/justin-bieber-4oh-53x53.jpg,1,2016
3000,Sorry,Justin Bieber,https://charts-static.billboard.com/img/2009/07/justin-bieber-4oh-53x53.jpg,2,2016
3001,One Dance,Drake Featuring WizKid & Kyla,https://charts-static.billboard.com/img/2009/04/drake-p3d-53x53.jpg,3,2016
3002,Work,Rihanna Featuring Drake,https://charts-static.billboard.com/img/2016/02/rihanna-t38-work-n00-53x53.jpg,4,2016
3003,Stressed Out,twenty one pilots,https://charts-static.billboard.com/img/2015/05/twenty-one-pilots-840-53x53.jpg,5,2016
3004,Panda,Desiigner,https://charts-static.billboard.com/img/2016/02/desiigner-l9j-53x53.jpg,6,2016
3005,Hello,Adele,https://charts-static.billboard.com/img/2015/11/adele-ee3-hello-bmf-53x53.jpg,7,2016
3006,Don't Let Me Down,The Chainsmokers Featuring Daya,https://charts-static.billboard.com/img/2016/02/the-chainsmokers-05s-dont-let-me-down-0y2-53x53.jpg,8,2016
3007,Can't Stop The Feeling!,Justin Timberlake,https://charts-static.billboard.com/img/2016/05/justin-timberlake-wmm-53x53.jpg,9,2016
3008,Closer,The Chainsmokers Featuring Halsey,https://charts-static.billboard.com/img/2016/08/the-chainsmokers-9iv-53x53.jpg,10,2016
3009,Cheap Thrills,Sia Featuring Sean Paul,https://charts-static.billboard.com/img/2016/01/sia-5kn-53x53.jpg,11,2016
3010,7 Years,Lukas Graham,https://charts-static.billboard.com/img/2015/11/lukas-graham-7bg-53x53.jpg,12,2016
3011,Needed Me,Rihanna,https://charts-static.billboard.com/img/2016/02/rihanna-t38-needed-me-nsm-53x53.jpg,13,2016
3012,My House,Flo Rida,https://charts-static.billboard.com/img/2015/07/flo-rida-8v1-53x53.jpg,14,2016
3013,I Took A Pill In Ibiza,Mike Posner,https://charts-static.billboard.com/img/2016/01/mike-posner-oiz-53x53.jpg,15,2016
3014,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,https://charts-static.billboard.com/img/2016/03/fifth-harmony-tsq-53x53.jpg,16,2016
3015,This Is What You Came For,Calvin Harris Featuring Rihanna,https://charts-static.billboard.com/img/2016/05/calvin-harris-ffl-53x53.jpg,17,2016
3016,Cake By The Ocean,DNCE,https://charts-static.billboard.com/img/2015/10/dnce-qun-53x53.jpg,18,2016
3017,"Me, Myself & I",G-Eazy x Bebe Rexha,https://charts-static.billboard.com/img/2015/11/g-eazy-4o5-53x53.jpg,19,2016
3018,Ride,twenty one pilots,https://charts-static.billboard.com/img/2015/05/twenty-one-pilots-840-53x53.jpg,20,2016
3019,Heathens,twenty one pilots,https://charts-static.billboard.com/img/2016/07/twenty-one-pilots-840-53x53.jpg,21,2016
3020,Pillowtalk,Zayn,https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f,22,2016
3021,Stitches,Shawn Mendes,https://charts-static.billboard.com/img/2014/07/shawn-mendes-hoz-53x53.jpg,23,2016
3022,Hotline Bling,Drake,https://charts-static.billboard.com/img/2009/04/drake-p3d-53x53.jpg,24,2016
3023,Cold Water,Major Lazer Featuring Justin Bieber & MO,https://charts-static.billboard.com/img/2016/08/major-lazer-gnw-53x53.jpg,25,2016
3024,Send My Love (To Your New Lover),Adele,https://charts-static.billboard.com/img/2008/02/adele-v39-53x53.jpg,26,2016
3025,Roses,The Chainsmokers Featuring Rozes,https://charts-static.billboard.com/img/2015/07/the-chainsmokers-featuring-rozes-vl7-53x53.jpg,27,2016
